2025-08-16 15:48:24 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] START_MESSAGE_RECEIVED - CallSid: unknown
2025-08-16 15:48:25 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] CUSTOMER_DATA_FOUND_DATABASE - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:25 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] INITIAL_GREETING_START - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:25 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] INITIAL_GREETING_SUCCESS - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:25 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:26 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:27 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:29 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:30 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:31 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:32 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:33 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
2025-08-16 15:48:34 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: bf2d8d816b04cdf278a7662d9b2c198g
